Sort Date,Highest Profile,Release Date,Title,EleutherAI PoC,Lead Org,Primary Area,Additional Area,Status,Conference or Journal,Archival Date,Workshop,Workshop Date,Superlatives,Link,On website,
"Dec 10, 2024",Yes,"Jul 20, 2024",Consent in crisis: The rapid decline of the AI data commons,Stella Biderman,Data Provenance Initiative,NLP,Ethics and Policy,Accepted,NeurIPS Datasets and Benchmarks,"Dec 10, 2024",,,,https://arxiv.org/abs/2407.14933,yes,
"Jan 14, 2025",,"Jan 14, 2025",Towards Best Practices for Open Datasets for LLM Training,Stella Biderman,Mozilla and EleutherAI,NLP,Ethics and Policy,arXiv,,,,,,https://arxiv.org/abs/2501.08365,yes,
"Jan 30, 2025",,"Jan 30, 2025",Matrix-Driven Identification and Reconstruction of LLM Weight Homology,"Zhang Ruichong, Daniel Goldstein",Tsinghua and EleutherAI,NLP,Security,Work-in-Progress,,,,,,https://arxiv.org/abs/2508.06309,,
"Jan 31, 2025",,"Jan 31, 2025",Can We Partially Rewrite Transformers in Natural Language?,Gonçalo Paulo,EleutherAI,Interpretability,NLP,arXiv,,,,,,https://arxiv.org/abs/2501.18838,yes,
"Feb 3, 2025",,"Feb 3, 2025",Converting MLPs into Polynomials in Closed Form,Nora Belrose,EleutherAI,Interpretability,Interpretability,arXiv,,,,,,https://arxiv.org/abs/2502.01032,yes,
"Feb 5, 2025",,"Feb 5, 2025",Slowing Learning by Erasing Simple Features,Lucia Quirke,EleutherAI,Interpretability,Interpretability,arXiv,,,,,,https://arxiv.org/pdf/2502.02820,yes,
"Feb 12, 2025",,"Feb 12, 2025",Transcoders Beat Sparse Autoencoders for Interpretability,Gonçalo Paulo,EleutherAI,Interpretability,NLP,arXiv,,,,,,https://arxiv.org/abs/2501.18823,yes,
"Feb 25, 2025",,"Apr 10, 2024",Does Transformer Interpretability Transfer to RNNs?,Nora Belrose,EleutherAI,Interpretability,NLP,Accepted,AAAI,"Feb 25, 2025",,,,https://arxiv.org/abs/2404.05971,yes,
"Mar 21, 2025",,"Mar 21, 2025",Examining Two Hop Reasoning Through Information Content Scaling,David Johnston,EleutherAI,Interpretability,Interpretability,arXiv,,,,,,https://arxiv.org/abs/2502.03490,yes,
"Apr 8, 2025",,"Apr 8, 2025",Estimating the Probability of Sampling a Trained Neural Network at Random,Nora Belrose,EleutherAI,Interpretability,Interpretability,arXiv,,,,,,https://arxiv.org/abs/2501.18812,yes,
"Apr 9, 2025",,"Apr 9, 2025","Mechanistic Anomaly Detection for ""Quirky"" Language Models",David Johnston,EleutherAI,Interpretability,NLP,arXiv,,,,,,https://arxiv.org/abs/2504.08812,yes,
"Apr 24, 2025",,4/21/2025,Aria-MIDI: A Dataset of MIDI Files for Symbolic Music Modeling,Louis Bradshaw,EleutherAI,Other Modalities,Other Modalities,Accepted,ICLR,"Apr 24, 2025",,,,https://openreview.net/forum?id=X5hrhgndxW,yes,
"Apr 24, 2025",,"Dec 19, 2024","Bridging the Data Provenance Gap Across Text, Speech, and Video",Stella Biderman,Data Provenance Initiative,Ethics and Policy,NLP,Accepted,ICLR,"Apr 24, 2025",,,,https://openreview.net/forum?id=G5DziesYxL,yes,
"Apr 24, 2025",,"Jul 9, 2024",Composable Interventions for Language Models,Kyle O'Brien ,University of Virginia,Interpretability,NLP,Accepted,ICLR,"Apr 24, 2025",,,,https://arxiv.org/abs/2407.06483,yes,
"Apr 24, 2025",Yes,"Mar 12, 2025",PolyPythias: Stability and Outliers across Fifty Language Model Pre-Training Runs,Oskar van der Wal,EleutherAI,NLP,Interpretability,Accepted,ICLR,"Apr 24, 2025",,,,https://arxiv.org/abs/2503.09543,yes,
"Apr 24, 2025",Yes,"Jun 25, 2024","Recite, Reconstruct, Recollect:
Memorization in LMs as a Multifaceted Phenomenon",Naomi Saphra,EleutherAI,NLP,Interpretability,Accepted,ICLR,"Apr 24, 2025",,,,https://arxiv.org/abs/2406.17746,yes,
"Apr 29, 2025",,"Feb 18, 2024",KMMLU: Measuring Massive Multitask Language Understanding in Korean,Guijin Son,EleutherAI,NLP,NLP,Accepted,NAACL,"Apr 29, 2025",,,,https://arxiv.org/abs/2402.11548,yes,
"Apr 29, 2025",,"Jun 9, 2024",The BiGGen Bench: A Principled Benchmark for Fine-grained Evaluation of Language Models with Language Models,Guijin Son,KAIST,NLP,NLP,Accepted,NAACL,"Apr 29, 2025",,,,https://arxiv.org/abs/2406.05761,yes,
"May 17, 2025",,"May 17, 2025",When AI Co-Scientists Fail: SPOT—a Benchmark for Automated Verification of Scientific Research,Guijin Son,EleutherAI,NLP,NLP,arXiv,,,,,,https://arxiv.org/abs/2505.11855,yes,
"Jul 13, 2025",,"Oct 21, 2024",Automatically Interpreting Millions of Features in Large Language Models,Gonçalo Paulo,EleutherAI,Interpretability,NLP,Accepted,ICML,"Jul 13, 2025",,,,https://arxiv.org/abs/2410.13928,yes,
"Jul 13, 2025",,"Jun 6, 2024",Why Has Predicting Downstream Capabilities of Frontier AI Models with Scale Remained Elusive?,Stella Biderman,Stanford (STAIR AI Lab),NLP,NLP,Accepted,ICML,"Jul 13, 2025","The 7th workshop on Neural Scaling Laws (talk), DMLR workshop (ICML 24), ICML 24 TiFA Workshop ; NextGenAISafety Workshop (ICML 24) ","Jul 22, 2024",,https://arxiv.org/abs/2406.04391,yes,
"Jul 18, 2025",,"Jun 2, 2025",BPE Stays on SCRIPT: Structured Encoding for Robust Multilingual Pretokenization,Catherine Arnett,Cohere,NLP,NLP,Accepted,Tokenizer Workshop @ ICML 2025,"Jul 18, 2025",Tokenizer Workshop @ ICML 2025,"Jul 18, 2025",Best paper @ Tokenizer Workshop,https://arxiv.org/abs/2505.24689,yes,
"Jul 18, 2025",,"Jul 8, 2025",Evaluating Morphological Alignment of Tokenizers in 70 Languages,Catherine Arnett,EleutherAI,NLP,NLP,Accepted,Tokenizer Workshop @ ICML 2025,"Jul 18, 2025",Tokenizer Workshop @ ICML 2025,"Jul 18, 2025",,https://arxiv.org/abs/2507.06378,yes,
"Jul 18, 2025",,,Position: Write Code that People Want to Use,Stella Biderman,EleutherAI,NLP,NLP,Ready to Submit,,,CodeML Workshop @ ICML,"Jul 18, 2025",,,yes,
"Jul 19, 2025",,"May 22, 2025",Steering Language Model Refusal with Sparse Autoencoders,Kyle O'Brien ,Microsoft,Alignment,Interpretability,Accepted,,,Actionable Interpretability Workshop @ ICML,"Jul 19, 2025",,https://arxiv.org/abs/2411.11296,yes,
